epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,711.835,3.70408,2.11578,2.00933,0.62027,0.7198,0.72983,0.34738,1.8271,7.30942,1.13615,0.000555411,0.000555411,0.000555411
2,1390.32,1.87491,1.01561,1.0915,0.89777,0.91179,0.95076,0.57408,1.30151,11.3998,0.96454,0.00105608,0.00105608,0.00105608
3,2058.84,1.5187,0.8002,0.98892,0.9222,0.93401,0.96573,0.64364,1.10894,13.8777,0.90953,0.00150174,0.00150174,0.00150174
4,2723.34,1.35326,0.71515,0.94768,0.94381,0.95233,0.96961,0.68681,1.00971,15.687,0.8882,0.00141945,0.00141945,0.00141945
5,3390.16,1.24609,0.65565,0.92331,0.9442,0.95773,0.96967,0.69997,0.97507,15.9451,0.87616,0.00133693,0.00133693,0.00133693
6,4126.45,1.164,0.6153,0.9059,0.95088,0.9627,0.97523,0.7296,0.88588,16.2518,0.85829,0.00125442,0.00125442,0.00125442
7,5244.09,1.11478,0.59082,0.89647,0.95576,0.96298,0.97743,0.75134,0.83105,15.6264,0.84678,0.0011719,0.0011719,0.0011719
8,6023.11,1.06968,0.57186,0.88819,0.95431,0.96614,0.97565,0.76227,0.79443,16.4765,0.83896,0.00108938,0.00108938,0.00108938
9,6712.16,1.03232,0.55537,0.88119,0.95883,0.96723,0.97693,0.76935,0.77432,18.3501,0.83537,0.00100687,0.00100687,0.00100687
10,7402.47,0.99534,0.53661,0.87313,0.95858,0.96702,0.97929,0.78249,0.73937,16.343,0.8305,0.000924352,0.000924352,0.000924352
11,8047.83,0.86955,0.49628,0.86043,0.96019,0.97063,0.98213,0.79765,0.69974,16.0356,0.82432,0.000841835,0.000841835,0.000841835
12,8694.31,0.82053,0.47712,0.85071,0.96086,0.97008,0.98407,0.80597,0.67655,17.7569,0.8206,0.000759318,0.000759318,0.000759318
13,9342.17,0.78242,0.46082,0.84455,0.96056,0.971,0.98542,0.82191,0.64045,18.632,0.81745,0.000676802,0.000676802,0.000676802
14,9991.24,0.75795,0.45057,0.83948,0.95808,0.97173,0.98789,0.83011,0.6252,19.3038,0.81545,0.000594286,0.000594286,0.000594286
15,10641.6,0.73767,0.4425,0.83739,0.96179,0.97245,0.98816,0.83528,0.60665,20.2911,0.81269,0.000511769,0.000511769,0.000511769
16,11292.3,0.71933,0.42838,0.83318,0.96066,0.97256,0.9902,0.83304,0.60331,18.8876,0.81182,0.000429253,0.000429253,0.000429253
17,11943.7,0.69925,0.42406,0.83104,0.96162,0.97252,0.99028,0.84329,0.58877,18.2545,0.81061,0.000346736,0.000346736,0.000346736
18,12592.5,0.68062,0.41681,0.82792,0.95939,0.97354,0.99066,0.84904,0.5679,17.5743,0.80757,0.00026422,0.00026422,0.00026422
19,13240.8,0.66744,0.40902,0.82686,0.96226,0.97335,0.99083,0.85202,0.5629,18.2911,0.80682,0.000181703,0.000181703,0.000181703
20,13893.1,0.65356,0.40611,0.8256,0.96303,0.97305,0.99099,0.85511,0.55329,19.7101,0.80603,9.91865e-05,9.91865e-05,9.91865e-05
